letteres,letter_id
أ,10001
ب,10002
ت,10003
ث,10004
ج,10005
ح,10006
خ,10007
د,10008
ذ,10009
ر,10010
ز,10011
س,10012
ش,10013
ص,10014
ض,10015
ط,10016
ظ,10017
ع,10018
غ,10019
ف,10020
ق,10021
ك,10022
ل,10023
م,10024
ن,10025
ه,10026
و,10027
ي,10028
ا,10029
آ,10030
إ,10031
ى,10032
ء,10033
ئ,10034
ؤ,10035
ة,10036
